"id","classification_id","preparation_type_id","created_at","updated_at"
"1","73","1","2015-09-01 10:47:59.868756","2015-09-01 10:47:59.868756"
"2","73","2","2015-09-01 10:51:40.196832","2015-09-01 10:51:40.196832"
"3","87","3","2015-09-01 10:51:53.841999","2015-09-01 10:51:53.841999"
"4","87","4","2015-09-01 10:52:04.134537","2015-09-01 10:52:04.134537"
"5","87","5","2015-09-01 10:52:17.528374","2015-09-01 10:52:17.528374"
"7","87","6","2015-09-01 10:52:31.308921","2015-09-01 10:52:31.308921"
"8","87","7","2015-09-01 10:53:20.265429","2015-09-01 10:53:20.265429"
"9","87","8","2015-09-01 10:53:30.973894","2015-09-01 10:53:30.973894"
"10","87","9","2015-09-01 10:53:42.661304","2015-09-01 10:53:42.661304"
"11","87","10","2015-09-01 10:53:54.702086","2015-09-01 10:53:54.702086"
"12","87","11","2015-09-01 10:54:08.664502","2015-09-01 10:54:08.664502"
"13","94","12","2015-09-01 10:54:33.865345","2015-09-01 10:54:33.865345"
"15","94","3","2015-09-01 10:55:21.130369","2015-09-01 10:55:21.130369"
"16","94","13","2015-09-01 10:55:33.368464","2015-09-01 10:55:33.368464"
"17","103","3","2015-09-01 10:55:47.71316","2015-09-01 10:55:47.71316"
"18","103","4","2015-09-01 10:56:06.52385","2015-09-01 10:56:06.52385"
"19","103","5","2015-09-01 10:56:15.957115","2015-09-01 10:56:15.957115"
"20","103","6","2015-09-01 10:56:25.756611","2015-09-01 10:56:25.756611"
"21","103","11","2015-09-01 10:56:38.693114","2015-09-01 10:56:38.693114"
"22","103","10","2015-09-01 10:56:55.971869","2015-09-01 10:56:55.971869"
"23","105","15","2015-09-01 10:57:38.499003","2015-09-01 10:57:38.499003"
"24","105","3","2015-09-01 10:57:47.988476","2015-09-01 10:57:47.988476"
"25","105","9","2015-09-01 10:57:58.758947","2015-09-01 10:57:58.758947"
"26","105","16","2015-09-01 10:58:10.248662","2015-09-01 10:58:10.248662"
"27","105","5","2015-09-01 10:58:21.777625","2015-09-01 10:58:21.777625"
"28","105","17","2015-09-01 10:58:34.752312","2015-09-01 10:58:34.752312"
"29","105","14","2015-09-01 10:58:44.692063","2015-09-01 10:58:44.692063"
"30","105","10","2015-09-01 10:58:54.997278","2015-09-01 10:58:54.997278"
"31","108","14","2015-09-01 11:00:48.922785","2015-09-01 11:00:48.922785"
